BatchTime,DataType,Algorithm,DataSize,Comparisons,Moves,Time(s)
2026/1/12 10:06,Random,Bubble,1000,499500,745260,0.0018716
2026/1/12 10:06,Random,Insert,1000,249419,250418,0.0008825
2026/1/12 10:06,Random,Select,1000,499500,2958,0.0008643
2026/1/12 10:06,Random,Quick(Stack),1000,18048,5768,0.0000652
2026/1/12 10:06,Random,Shell,1000,13826,21832,0.0000745
2026/1/12 10:06,Random,Heap(Iter),1000,16814,14010,0.0000738
2026/1/12 10:06,Random,Merge(Iter),1000,8723,20000,0.0000762
2026-01-12 10:29:57,Random,Bubble,50,1225,1830,0.00000700
2026-01-12 10:29:57,Random,Insert,50,659,708,0.00000240
2026-01-12 10:29:57,Random,Select,50,1225,129,0.00000360
2026-01-12 10:29:57,Random,Quick(Stack),50,434,194,0.00000340
2026-01-12 10:29:57,Random,Shell,50,346,549,0.00000210
2026-01-12 10:29:57,Random,Heap(Iter),50,418,487,0.00000270
2026-01-12 10:29:57,Random,Merge(Iter),50,223,600,0.00000340
2026-01-12 10:33:24,Random,Bubble,50,1225,1830,0.00000720
2026-01-12 10:33:24,Random,Insert,50,659,708,0.00000260
2026-01-12 10:33:24,Random,Select,50,1225,129,0.00000380
2026-01-12 10:33:24,Random,Quick,50,434,194,0.00000360
2026-01-12 10:33:24,Random,Shell,50,346,549,0.00000220
2026-01-12 10:33:24,Random,Heap,50,418,487,0.00000260
2026-01-12 10:33:24,Random,Merge,50,223,600,0.00000360
2026-01-12 11:12:40,Random,Bubble,5000,12497500,18540765,0.05005570
2026-01-12 11:12:40,Random,Insert,5000,6185254,6190253,0.01562600
2026-01-12 11:12:40,Random,Select,5000,12497500,14829,0.02116390
2026-01-12 11:12:40,Random,Quick,5000,175465,30808,0.00044340
2026-01-12 11:12:40,Random,Shell,5000,94463,149468,0.00045350
2026-01-12 11:12:40,Random,Heap,5000,107226,81674,0.00044580
2026-01-12 11:12:40,Random,Merge,5000,56781,130000,0.00040080
2026-01-12 15:36:15,Reverse,Bubble,20,190,567,0.00000190
2026-01-12 15:36:15,Reverse,Insert,20,208,227,0.00000130
2026-01-12 15:36:15,Reverse,Select,20,190,30,0.00000130
2026-01-12 15:36:15,Reverse,Quick,20,228,76,0.00000370
2026-01-12 15:36:15,Reverse,Shell,20,98,160,0.00000090
2026-01-12 15:36:15,Reverse,Heap,20,108,158,0.00000140
2026-01-12 15:36:15,Reverse,Merge,20,41,200,0.00000160
